ลำดับที่,เดือน,วันที่เกิดเหตุ,เวลา,ขบวนรถ,เส้นทาง,สถานีที่เกิดเหตุขัอง,ระยะเวลาล่าช้า (นาที),ผู้ให้บริการ,สาเหตุ,รายละเอียด
159,ตุลาคม,5 ต.ค. 21,20.30 น.,42,สายสีเขียว,สุรศักดิ์ ,-,BTS, ระบบขับเคลื่อนรถไฟฟ้า ,20.30 น. ขบวนรถไฟฟ้าหมายเลข 42 ระบบขับเคลื่อนขัดข้องก่อนเข้าสถานีสุรศักดิ์ ฝั่งมุ่งหน้าสถานีปลายทางสนามกีฬาแห่งชาติ ไม่สามารถแก้ไขได้ต้องทำการเปลี่ยนถ่ายผู้โดยสาร และนำออกจากการให้บริการ
160,ตุลาคม,6 ต.ค. 21,12.47 น.,-,สายสีแดง,บางบำหรุ-ตลิ่งชัน,-,SRTET, จุดสับราง ,12.47 น. ชุดประแจ106B ขัดข้อง ระหว่างช่วงสถานีบางบำหรุและสถานีตลิ่งชัน ฝั่งขาออกเมือง ศูนย์ควบคุมการเดินรถปรับรูปแบบการเดินรถวิ่ง Shuttle ระหว่างตลิ่งชัน-บางบำหรุ 1 ขบวน และวิ่ง Short loop ระหว่างบางบำหรุ-บางซื่อ 2 ขบวน ใช้ ความถี่ 30 นาที ตลอดจนสิ้นสุดการให้บริการ
161,ตุลาคม,7 ต.ค. 21,08.20 น.,-,สายสีแดง,บางบำหรุ-ตลิ่งชัน,-,SRTET, จุดสับราง ,08.20 น. ชุดประแจ106B ขัดข้อง ระหว่างช่วงสถานีบางบำหรุและสถานีตลิ่งชัน ฝั่งขาออกเมือง ศูนย์ควบคุมการเดินรถปรับรูปแบบการเดินรถวิ่ง Shuttle ระหว่างตลิ่งชัน-บางบำหรุ 1 ขบวน และวิ่ง Short loop ระหว่างบางบำหรุ-บางซื่อ 2 ขบวน ใช้ ความถี่ 30 นาที ตลอดจนสิ้นสุดการให้บริการ
162,ตุลาคม,8 ต.ค. 21,06.00 น.,-,สายสีทอง,กรุงธนบุรี-คลองสาน,-,BTS , ระบบจ่ายไฟฟ้าขับเคลื่อน ,"06.00 น. BTS (สายสีทอง) ระบบจ่ายไฟขัดข้องตั้งแต่สถานีกรุงธนบุรีถึงสถานีปลายทางคลองสาน, ทำการแก้ไขเรียบร้อย, การเดินรถในสายสีทองสามารถเดินรถได้ตามปกติ"
163,ตุลาคม,8 ต.ค. 21,21.58 น.,81,สายสีเขียว,ทองหล่อ,-,BTS, ระบบประตู ,21:58 น. BTS ขบวนรถไฟฟ้าหมายเลข 81 ระบบประตูขัดข้องที่สถานีทองหล่อ ฝั่งมุ่งหน้าสถานีปลายทางเคหะฯ ไม่สามารถทำการแก้ไขได้ให้ทำการเปลี่ยนถ่ายผู้โดยสาร 22.14 น. BTS ขบวนรถได้รับการแก้ไขและนำออกจากการให้บริการแล้ว การเดินรถในสายสุขุมวิทสามารถเดินรถได้ตามปกติ
164,ตุลาคม,9 ต.ค. 21,11.20 น.,-,สายสีแดง,บางบำหรุ-ตลิ่งชัน,-,SRTET, จุดสับราง ,11.20 น. ชุดประแจ106B ขัดข้อง ระหว่างช่วงสถานีบางบำหรุและสถานีตลิ่งชัน ฝั่งขาออกเมือง ศูนย์ควบคุมการเดินรถปรับรูปแบบการเดินรถวิ่ง Shuttle ระหว่างตลิ่งชัน-บางบำหรุ 1 ขบวน และวิ่ง Short loop ระหว่างบางบำหรุ-บางซื่อ 2 ขบวน ใช้ ความถี่ 30 นาที ตลอดจนสิ้นสุดการให้บริการ
165,ตุลาคม,10 ต.ค. 21,10.40 น.,-,สายสีแดง,บางบำหรุ-ตลิ่งชัน,-,SRTET, จุดสับราง ,10.40 น. ชุดประแจ106B ขัดข้อง ระหว่างช่วงสถานีบางบำหรุและสถานีตลิ่งชัน ฝั่งขาออกเมือง ศูนย์ควบคุมการเดินรถปรับรูปแบบการเดินรถวิ่ง Shuttle ระหว่างตลิ่งชัน-บางบำหรุ 1 ขบวน และวิ่ง Short loop ระหว่างบางบำหรุ-บางซื่อ 2 ขบวน ใช้ ความถี่ 30 นาที ตลอดจนสิ้นสุดการให้บริการ
166,ตุลาคม,11 ต.ค. 21,13.24 น.,-,สายสีแดง,บางบำหรุ-ตลิ่งชัน,-,SRTET, จุดสับราง ,13.24 น. ชุดประแจ106B ขัดข้อง ระหว่างช่วงสถานีบางบำหรุและสถานีตลิ่งชัน ฝั่งขาออกเมือง ศูนย์ควบคุมการเดินรถปรับรูปแบบการเดินรถ วิ่ง Shuttle ระหว่างตลิ่งชัน-บางบำหรุ 1 ขบวน และวิ่ง Short loop ระหว่างบางบำหรุ-บางซื่อ 2 ขบวน ใช้ ความถี่ 30 นาที ตลอดจนสิ้นสุดการให้บริการ
167,ตุลาคม,12 ต.ค. 21,12.20 น.,-,สาย ARL,มักกะสัน,-,SRTET, วัสดุแปลกปลอม ,"เวลา  12.20 น. ช่วงก่อนเข้าสถานีมักกะสันฝั่งขาออกนอกเมือง เกิดเหตุขัดข้องสายเคเบิ้ลพาดใกล้ระบบจ่ายไฟเหนือหัว 
      ทำการเดินรถแบบไม่เต็มรูปแบบเพื่อเก็บสายเคเบิ้ลดังกล่าว ต้องปิดใช้ชานชาลาฝั่งขาออกนอกเมืองและใช้ชานชาลาขาเข้าเมืองแทน ที่สถานีพญาไท,สถานีราชปรารถ และสถานีมักกะสัน  มีรถไฟให้บริการ  3 ขบวน  ความถี่ 20 นาที"
168,ตุลาคม,13 ต.ค. 21,05.50 น.,-,สายสีแดง,รังสิต,-,SRTET, ระบบอาณัติสัญญาณและการควบคุม ,05.50 น. ระบบอาณัติสัญญาณขัดข้อง ที่สถานีรังสิตฝั่งขาเข้าเมือง เจ้าหน้าที่กำลังเข้าดำเนินการแก้ไข ศูนย์ควบคุมการเดินรถปรับรูปแบบการเดินรถแบบวิ่งไป-กลับ ในเส้นทางเส้นเดียวกัน ที่สถานีดอนเมือง ถึง สถานีรังสิต ฝั่งขาออกเมือง ส่งผลให้ที่สถานีหลักหก และ สถานีรังสิต ต้องปิดให้บริการชานชาลาฝั่งขาเข้าเมืองและ ใช้ชานชาลาขาออกเมืองแทน 08.15 น. เจ้าหน้าที่ดำเนินการแก้ไขเรียบร้อย ยกเลิกแผนการเดินรถสำรอง กลับเดินรถในเส้นการเดินรถทางปกติ มีรถไฟให้บริการครบตามตารางเวลา
